Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1663992000000,1321.66000000,1329.83000000,1318.26000000,1328.12000000,13651.14910000,1663995599999,18072794.03502200,22078,7491.58480000,9920984.85049600,0
1663995600000,1328.11000000,1337.80000000,1323.82000000,1332.57000000,21368.68630000,1663999199999,28423352.08814200,28279,12392.51620000,16481028.63378300,0
1663999200000,1332.57000000,1335.65000000,1322.41000000,1324.50000000,14849.52280000,1664002799999,19711586.33743500,22853,6923.22400000,9190177.81176700,0
1664002800000,1324.51000000,1325.09000000,1316.90000000,1322.41000000,14087.27620000,1664006399999,18625080.50374100,22691,6267.31700000,8285662.11960600,0
1664006400000,1322.40000000,1331.15000000,1317.03000000,1329.24000000,23193.97930000,1664009999999,30751844.37477100,28970,12060.05510000,15991938.98877500,0
1664010000000,1329.24000000,1329.99000000,1321.33000000,1326.59000000,24322.71700000,1664013599999,32279808.17498900,24150,12231.15200000,16235636.77290100,0
1664013600000,1326.60000000,1328.63000000,1320.50000000,1325.99000000,17028.01650000,1664017199999,22581305.43860400,20339,7746.52940000,10274485.02764000,0
1664017200000,1326.00000000,1332.74000000,1323.81000000,1326.99000000,25251.24610000,1664020799999,33552571.69630900,22587,13791.38200000,18328339.38896700,0
1664020800000,1326.99000000,1336.39000000,1326.15000000,1331.99000000,24239.11750000,1664024399999,32242831.03163000,24867,13632.14800000,18135690.08426800,0
1664024400000,1331.98000000,1348.90000000,1331.18000000,1342.71000000,40413.48060000,1664027999999,54198893.43987100,43461,20320.18380000,27245863.68129700,0
1664028000000,1342.70000000,1349.33000000,1339.60000000,1342.38000000,17960.57960000,1664031599999,24139827.97207800,29352,9571.20060000,12865313.08549800,0
1664031600000,1342.38000000,1345.39000000,1333.11000000,1339.78000000,22721.00170000,1664035199999,30398011.60062300,26849,10035.85210000,13428710.25313700,0
1664035200000,1339.77000000,1347.30000000,1337.44000000,1337.82000000,26248.99130000,1664038799999,35243503.27214900,27530,12946.32430000,17385150.20289000,0
1664038800000,1337.82000000,1343.20000000,1333.69000000,1336.37000000,14172.68880000,1664042399999,18974715.70780400,18196,6912.05590000,9255241.68219100,0
1664042400000,1336.36000000,1344.00000000,1333.85000000,1343.69000000,18576.62450000,1664045999999,24881520.63107000,21829,10240.19510000,13720137.26651600,0
1664046000000,1343.70000000,1348.35000000,1339.59000000,1342.31000000,13170.77850000,1664049599999,17696116.15435200,17940,6829.94710000,9176211.57600100,0
1664049600000,1342.30000000,1344.07000000,1337.47000000,1342.00000000,9221.98170000,1664053199999,12361998.76797200,14631,4534.50080000,6078416.63053700,0
1664053200000,1341.99000000,1342.39000000,1319.42000000,1322.96000000,21208.77690000,1664056799999,28169624.58651400,30992,9193.17050000,12211157.80815800,0
1664056800000,1322.98000000,1322.99000000,1306.52000000,1314.49000000,31942.54360000,1664060399999,42032481.85737500,37692,15554.82080000,20469410.53126500,0
1664060400000,1314.50000000,1321.02000000,1310.53000000,1317.13000000,24338.18490000,1664063999999,32038822.83272100,22243,12348.10820000,16256029.86765600,0
1664064000000,1317.13000000,1323.93000000,1314.40000000,1321.57000000,25405.38230000,1664067599999,33494335.23836300,23035,14581.36290000,19223257.19073900,0
1664067600000,1321.58000000,1325.48000000,1318.37000000,1321.58000000,14565.49370000,1664071199999,19246690.24666200,16345,7120.64890000,9411548.53343700,0
1664071200000,1321.57000000,1322.48000000,1316.04000000,1321.16000000,13083.03620000,1664074799999,17273615.98470800,15469,7473.06760000,9868956.38661800,0
1664074800000,1321.16000000,1329.44000000,1318.81000000,1329.38000000,16824.51800000,1664078399999,22298656.47602000,22091,8701.38890000,11532423.23341700,0
1664078400000,1329.37000000,1330.12000000,1325.00000000,1327.64000000,9439.97140000,1664081999999,12531142.22172200,15408,5130.44540000,6810534.46307500,0
1664082000000,1327.64000000,1329.43000000,1319.58000000,1322.68000000,10403.17240000,1664085599999,13762304.76171400,14767,4482.11650000,5930354.32791400,0
1664085600000,1322.68000000,1328.43000000,1321.70000000,1326.31000000,7414.04640000,1664089199999,9829906.88352100,13339,4011.24870000,5317751.55567400,0
1664089200000,1326.32000000,1337.00000000,1324.18000000,1332.84000000,19390.01250000,1664092799999,25819232.75107900,23810,10389.28320000,13835182.38886100,0
1664092800000,1332.83000000,1334.45000000,1328.06000000,1330.55000000,22619.28000000,1664096399999,30110800.62434300,21203,12006.87250000,15986129.85218800,0
1664096400000,1330.54000000,1332.26000000,1321.89000000,1323.11000000,14174.14950000,1664099999999,18817651.86796300,20533,7644.03620000,10147585.88236300,0
1664100000000,1323.10000000,1327.18000000,1316.74000000,1325.31000000,13135.98380000,1664103599999,17382773.90120000,18893,5900.07150000,7807011.57241800,0
1664103600000,1325.32000000,1332.00000000,1325.08000000,1329.33000000,13772.08070000,1664107199999,18292583.05514100,17088,9250.73510000,12285698.88598500,0
1664107200000,1329.33000000,1331.49000000,1322.22000000,1323.57000000,10620.62990000,1664110799999,14088547.85254700,18651,4386.38240000,5817830.07488300,0
1664110800000,1323.57000000,1323.84000000,1298.15000000,1306.11000000,61099.83050000,1664114399999,80127504.35287700,55439,30724.60760000,40288245.86682400,0
1664114400000,1306.11000000,1310.16000000,1299.21000000,1306.00000000,21605.01820000,1664117999999,28199852.73537700,32493,11618.07670000,15165984.56378300,0
1664118000000,1306.00000000,1314.53000000,1305.00000000,1310.79000000,19212.13600000,1664121599999,25192319.52507300,26610,8573.53050000,11239512.03174800,0
1664121600000,1310.78000000,1321.03000000,1301.50000000,1303.54000000,22265.28810000,1664125199999,29230864.55894900,29282,11030.75180000,14484697.13162200,0
1664125200000,1303.54000000,1304.39000000,1281.91000000,1297.38000000,50395.94280000,1664128799999,65019773.24558500,59291,25430.25400000,32809658.94914000,0
1664128800000,1297.37000000,1300.65000000,1289.34000000,1296.51000000,18293.58520000,1664132399999,23685231.21901300,25386,8303.09140000,10748994.31057100,0
1664132400000,1296.50000000,1303.62000000,1294.49000000,1299.82000000,19776.22950000,1664135999999,25689237.30541700,23595,8168.57580000,10613043.52111800,0
1664136000000,1299.81000000,1300.17000000,1291.07000000,1292.35000000,11206.76690000,1664139599999,14518714.51979500,18775,5358.05150000,6939520.02348000,0
1664139600000,1292.34000000,1294.50000000,1280.17000000,1285.53000000,18152.10770000,1664143199999,23372416.57573400,27562,8547.22650000,11006194.83897700,0
1664143200000,1285.54000000,1303.10000000,1269.27000000,1290.94000000,58570.26160000,1664146799999,75380076.64175800,66877,28828.89020000,37122933.60742900,0
1664146800000,1290.94000000,1300.29000000,1288.29000000,1294.63000000,24108.91760000,1664150399999,31195846.63777800,34745,11435.57890000,14796130.02588100,0
1664150400000,1294.62000000,1311.62000000,1290.02000000,1293.04000000,40190.06860000,1664153999999,52327419.16415700,47427,20103.98830000,26181120.98115400,0
1664154000000,1293.05000000,1307.14000000,1286.88000000,1301.37000000,38770.59150000,1664157599999,50274021.72206300,45961,19598.81550000,25410986.16113600,0
1664157600000,1301.38000000,1308.83000000,1299.18000000,1304.37000000,30331.73080000,1664161199999,39571097.47894200,28828,12238.60910000,15963381.62029400,0
1664161200000,1304.37000000,1314.55000000,1301.16000000,1303.23000000,23693.36510000,1664164799999,30959315.87136000,28277,11338.05420000,14822700.01688200,0
1664164800000,1303.24000000,1306.35000000,1293.76000000,1294.33000000,16833.12700000,1664168399999,21887852.11973000,23122,8045.45300000,10463652.83370300,0
1664168400000,1294.33000000,1296.38000000,1286.27000000,1290.69000000,20584.37220000,1664171999999,26601022.43492800,25997,9758.82840000,12611351.58193000,0
1664172000000,1290.69000000,1296.33000000,1277.85000000,1280.23000000,46254.32220000,1664175599999,59441571.17069600,47475,18345.47040000,23580988.04686800,0
